argh	अर्घ् ; भ्वा० सेट् प० ; (अर्घ मूल्ये)१.१८५ ;;
arh	अर्ह् ; भ्वा० सेट् प० ; अर्ह पूजायाम् १.८४१ ;;
arh	अर्ह् ; चु० सेट् उ० (१.३.७४); अर्ह पूजायाम् १०.२५७ ;;
arh	अर्ह् ; चु० सेट् उ० (१.३.७४); अर्ह पूजायाम् १०.३६७ ;;
arj	अर्ज् ; भ्वा० सेट् प० ; अर्ज- [अर्जने]१.२५६ ;;
arj	अर्ज् ; चु० सेट् उ० (१.३.७४); अर्ज प्रतियत्ने (सम्पादने च)१०.२५० ;;
ark	अर्क् ; चु० सेट् उ० (१.३.७४); अर्क स्तवने १०.१४५ ;;
arth	अर्थ (अर्थ्); चु० सेट् आ० ; अर्थ उपयाच्ञायाम् १०.४४७ ;;
arv	अर्व् ; भ्वा० सेट् प० ; अर्व- [हिंसायाम्]१.६६७ ;;
as	अस् ; भ्वा० सेट् उ० ; अस गतिदीप्त्यादानेषु १.१०२९ ;;
as	अस् ; अ० सेट् प० ; अस भुवि २.६० ;;
as	अस् ; दि० सेट् प० ; असु क्षेपने ४.१०६ ;;
aSh	अष् ; भ्वा० सेट् उ० ; अष [गतिदीप्त्यादानेषु]इत्येके १.१०३० ;;
ash	अश् ; स्वा० सेट् आ० ; अशू व्याप्तौ सङ्घाते च ५.२० ;;
ash	अश् ; क्र्या० सेट् प० ; अश भोजने ९.५९ ;;
aT	अट् ; भ्वा० सेट् प० ; अट- [गतौ]१.३३२ ;;
at	अत् ; भ्वा० सेट् प० ; अत सातत्यगमने १.३८ ;;
aTT	अट्ट् ; भ्वा० सेट् आ० ; अट्ट अतिक्रमणहिंसनयोः (अतिक्रमहिंसयोः)१.२८७ ;;
aTT	अट्ट् ; चु० सेट् उ० (१.३.७४); अट्ट- [अनादरे]१०.३७ ;;
av	अव् ; भ्वा० सेट् प० ; अव रक्षणगतिकान्तिप्रीतितृप्त्यवगमप्रवेशश्रवणस्वाम्यर्थयाचनक्रियेच्चादीप्त्यवाप्त्यालिङ्गनहिंसादानभागवृद्धिषु १.६८४ ;;
ax	अक्ष् ; भ्वा० सेट् प० ; अक्षू व्याप्तौ १.७४२ ;;
ay	अय् ; भ्वा० सेट् आ० ; अय- [गतौ]१.५४६ ;;
ay	अय् ; भ्वा० सेट् उ० ; (अय गतौ)१.१०३१ ;;
baaD	बाड् ; भ्वा० सेट् आ० ; बाडृ आप्लाव्ये १.३२० ;;
baadh	बाध् ; भ्वा० सेट् आ० ; बाधृ लोडने (विलोडने)१.५ ;;
baah	बाह् ; भ्वा० सेट् आ० ; बाहृ- (वाहृ)प्रयत्ने १.७३२ ;;
babhr	बभ्र् ; भ्वा० सेट् प० ; वभ्र- (बभ्र- )[गत्यर्थः]१.६३८ ;;
bad	बद् ; भ्वा० सेट् प० ; बद स्थैर्ये १.५३ ;;
badh	बध् ; भ्वा० सेट् आ० ; बध बन्धने १.११२८ ;;
badh	बध् ; चु० सेट् उ० (१.३.७४); बध संयमने १०.२० ;;
bal	बल् ; भ्वा० सेट् प० ; बल प्राणने धान्यावरोधे च (धान्यावरोधने च)१.९७४ ;;
bal	बल् ; चु० सेट् उ० (१.३.७४); बल(म्)प्राणने १०.१२३ ;;
balh	बल्ह् ; भ्वा० सेट् आ० ; बल्ह प्राधान्ये १.७२६ ;;
balh	बल्ह् ; चु० सेट् उ० (१.३.७४); बल्ह- (वल्ह- )[भाषार्थः]१०.३०१ ;;
baMh	बंह् ; भ्वा० सेट् आ० ; बहि- [वृद्धौ]१.७२० ;;
baN	बण् ; भ्वा० सेट् प० ; बण [शब्दे]इत्यपि केचित् १.५३० ;;
bandh	बन्ध् ; चु० सेट् उ० (१.३.७४); बन्ध [संयमने]इति चान्द्राः १०.२१ ;;
bandh	बन्ध् ; क्र्या० अनिट् प० ; बन्ध बन्धने ९.४४ ;;
baNT	बण्ट् ; भ्वा० सेट् प० ; बटि- [विभाजने]इत्येके १.३७८ ;;
barb	बर्ब् ; भ्वा० सेट् प० ; बर्ब- [गतौ]१.४८४ ;;
barh	बर्ह् ; भ्वा० सेट् आ० ; बर्ह- [प्राधान्ये]१.७२५ ;;
barh	बर्ह् ; चु० सेट् उ० (१.३.७४); बर्ह हिंसायाम् १०.१७३ ;;
barh	बर्ह् ; चु० सेट् उ० (१.३.७४); बर्ह- (वर्ह- )[भाषार्थः]१०.३०० ;;
bas	बस् ; दि० सेट् प० ; बसु [स्तम्भे]इत्येके ४.११२ ;;
baShk	बष्क (बष्क्); चु० सेट् उ० (१.३.७४); बष्क दर्शने १०.४५८ ;;
bast	बस्त् ; चु० सेट् आ० ; बस्त- [अर्दने]१०.२०३ ;;
baTh	बठ् ; भ्वा० सेट् प० ; बठ [स्थौल्ये]इत्येके १.३८३ ;;
beh	बेह् ; भ्वा० सेट् आ० ; वेहृ- (बेहृ- )[प्रयत्ने]१.७३० ;;
bes	बेस् ; भ्वा० सेट् प० ; बेस गतौ १.८२१ ;;
bhaa	भा ; अ० अनिट् प० ; भा दीप्तौ २.४६ ;;
bhaaj	भाज (भाज्); चु० सेट् उ० (१.३.७४); भाज पृथक्कर्मणि १०.४२८ ;;
bhaam	भाम (भाम्); चु० सेट् उ० (१.३.७४); भाम क्रोधे १०.४११ ;;
bhaam	भाम् ; भ्वा० सेट् आ० ; भाम क्रोधे १.५०९ ;;
bhaas	भास् ; भ्वा० सेट् आ० ; भासृ दीप्तौ १.७११ ;;
bhaaSh	भाष् ; भ्वा० सेट् आ० ; भाष व्यक्तायां वाचि १.६९६ ;;
bhaj	भज् ; भ्वा० अनिट् उ० ; भज सेवायाम् १.११५३ ;;
bhaj	भज् ; चु० सेट् उ० (१.३.७४); भज विश्राणने १०.२५९ ;;
bhal	भल् ; भ्वा० सेट् आ० ; भल- (बल- )[परिभाषणहिंसादानेषु]१.५६८ ;;
bhal	भल् ; चु० सेट् आ० ; भल आभण्डने १०.२२४ ;;
bhall	भल्ल् ; भ्वा० सेट् आ० ; भल्ल परिभाषणहिंसादानेषु १.५६९ ;;
bhaN	भण् ; भ्वा० सेट् प० ; भण- [शब्दार्थः]१.५१५ ;;
bhaND	भण्ड् ; भ्वा० सेट् आ० ; भडि परिभाषणे १.३०६ ;;
bhaND	भण्ड् ; चु० सेट् उ० (१.३.७४); भडि कल्याणे १०.७७ ;;
bhand	भन्द् ; भ्वा० सेट् आ० ; भदि कल्याणे सुखे च १.१२ ;;
bhanj	भञ्ज् ; चु० सेट् उ० (१.३.७४); भजि- [भाषार्थः]१०.२९० ;;
bhanj	भञ्ज् ; रु० अनिट् प० ; भञ्जो आमर्दने ७.१६ ;;
bharb	भर्ब् ; भ्वा० सेट् प० ; भर्ब [हिंसायाम्]इत्येके १.६६२ ;;
bharbh	भर्भ् ; भ्वा० सेट् प० ; भर्भ [हिंसायाम्]इत्यन्ये १.६६३ ;;
bharts	भर्त्स् ; चु० सेट् आ० ; भर्त्स सन्तर्जने (तर्जने)१०.२०२ ;;
bharv	भर्व् ; भ्वा० सेट् प० ; भर्व हिंसायाम् १.६६१ ;;
bhas	भस् ; जु० सेट् प० ; भस भर्त्सनदीप्त्योः ३.१९ ;;
bhas	भस् ; दि० सेट् प० ; भसु [स्तम्भे]इति केचित् ४.११३ ;;
bhaSh	भष् ; भ्वा० सेट् प० ; भष भर्त्सने १.७९१ ;;
bhaT	भट् ; भ्वा० सेट् प० ; भट भृतौ १.३४४ ;;
bhaT	भट् ; भ्वा० सेट् प० ; भट(म्)परिभाषणे १.८८९ ;;
bhax	भक्ष् ; भ्वा० सेट् उ० ; भक्ष [अदने]इति मैत्रेयः १.१०३९ ;;
bhax	भक्ष् ; चु० सेट् उ० (१.३.७४); भक्ष अदने १०.३३ ;;
bheSh	भेष् ; भ्वा० सेट् उ० ; भेषृ भये ; गतावित्येके १.१०२६ ;;
bhid	भिद् ; भ्वा० सेट् आ० ; ञिमिदा स्नेहने १.८४४ ;;
bhid	भिद् ; रु० अनिट् उ० ; भिदिर् विदारणे ७.२ ;;
bhii	भी ; जु० अनिट् प० ; ञिभी भये ३.२ ;;
bhind	भिन्द् ; भ्वा० सेट् प० ; भिदि [अवयवे]इत्येके १.६७ ;;
bhix	भिक्ष् ; भ्वा० सेट् आ० ; भिक्ष भिक्षायामलाभे लाभे च १.६९० ;;
bhlaash	भ्लाश् ; भ्वा० सेट् आ० ; टुभ्लाशृ दीप्तौ १.९५९ ;;
bhlax	भ्लक्ष् ; भ्वा० सेट् उ० ; भ्लक्ष अदने १.१०३८ ;;
bhleSh	भ्लेष् ; भ्वा० सेट् उ० ; भ्लेषृ गतौ १.१०२८ ;;
bhR	भृ ; भ्वा० अनिट् उ० ; भृञ् भरणे १.१०४५ ;;
bhR	भृ ; जु० अनिट् उ० ; डुभृञ् धारणपोषणयोः ३.६ ;;
bhraaj	भ्राज् ; भ्वा० सेट् आ० ; टुभ्राजृ- [दीप्तौ]१.९५७ ;;
bhraaj	भ्राज् ; भ्वा० सेट् आ० ; भ्राजृ दीप्तौ १.२०५ ;;
bhraash	भ्राश् ; भ्वा० सेट् आ० ; टुभ्राशृ- [दीप्तौ]१.९५८ ;;
bhrajj	भ्रज्ज् ; तु० अनिट् उ० ; भ्रस्ज पाके ६.४ ;;
bhram	भ्रम् ; भ्वा० सेट् प० ; भ्रमु चलने १.९८५ ;;
bhram	भ्रम् ; दि० सेट् प० ; भ्रमु अनवस्थाने ४.१०२ ;;
bhraMs	भ्रंस् ; भ्वा० सेट् आ० ; भ्रंसु अवस्रंसने १.८५९ ;;
bhraMsh	भ्रंश् ; भ्वा० सेट् आ० ; भ्रंशु [अवस्रंसने]इत्यपि केचित् १.८६० ;;
bhraMsh	भ्रंश् ; दि० सेट् प० ; भ्रंशु अधःपतने ४.१३८ ;;
bhraN	भ्रण् ; भ्वा० सेट् प० ; भ्रण- [शब्दार्थः]१.५२० ;;
bhrasj	भ्रस्ज् ; तु० अनिट् उ० ; भ्रस्ज पाके ६.४ ;;
bhrax	भ्रक्ष् ; भ्वा० सेट् उ० ; भ्रक्ष- [अदने]१.१०३७ ;;
bhRD	भृड् ; तु० सेट् प० ; भृड निमज्जने इत्येके ६.१२९ ;;
bhrej	भ्रेज् ; भ्वा० सेट् आ० ; भ्रेजृ- [दीप्तौ]१.२०४ ;;
bhreSh	भ्रेष् ; भ्वा० सेट् उ० ; भ्रेषृ- [गतौ]१.१०२७ ;;
bhRii	भॄ ; क्र्या० सेट् प० ; भॄ भर्त्सने ; भरने- प्येके ९.२४ ;;
bhrii	भ्री ; क्र्या० अनिट् प० ; भ्री भये ; भरण इत्येके ९.४१ ;;
bhRj	भृज् ; भ्वा० सेट् आ० ; भृजी भर्जने १.२०२ ;;
bhRMsh	भृंश् ; चु० सेट् उ० (१.३.७४); भृशि- [[भाषार्थः]च]१०.३१८ ;;
bhRMsh	भृंश् ; दि० सेट् प० ; भृंशु- [अधःपतने]४.१३७ ;;
bhRsh	भृश् ; दि० सेट् प० ; भृशु- [अधःपतने]४.१३६ ;;
bhruuN	भ्रूण् ; चु० सेट् आ० ; भ्रूण आशाविशङ्कयोः (आशायाम्)१०.२१३ ;;
bhuj	भुज् ; तु० अनिट् प० ; भुजो कौटिल्ये ६.१५३ ;;
bhuj	भुज् ; रु० अनिट् प० ; भुज पालनाभ्यवहारयोः ७.१७ ;;
bhuu	भू ; भ्वा० सेट् प० ; भू सत्तायाम् १.१ ;;
bhuu	भू ; चु० सेट् उ० (१.३.७४)(आ०); भू प्राप्तौ १०.३८२ ;;
bhuu	भू ; चु० सेट् उ० (१.३.७४); भुवो- वकल्कने ; मिश्रीकरण इत्येके ; चिन्तन इत्यन्ये १०.२७७ ;;
bhuuSh	भूष् ; भ्वा० सेट् प० ; भूष- [अलङ्कारे]१.७७७ ;;
bhuuSh	भूष् ; चु० सेट् उ० (१.३.७४); भूष अलङ्कारे १०.२५५ ;;
bhyas	भ्यस् ; भ्वा० सेट् आ० ; भ्यस भये १.७१५ ;;
biibh	बीभ् ; भ्वा० सेट् आ० ; बीभृ- [[कत्थने]च]१.४४५ ;;
bil	बिल् ; चु० सेट् उ० (१.३.७४); बिल भेदने १०.९५ ;;
bil	बिल् ; तु० सेट् प० ; बिल भेदने ६.८६ ;;
bind	बिन्द् ; भ्वा० सेट् प० ; बिदि अवयवे १.६६ ;;
bis	बिस् ; भ्वा० सेट् प० ; बिस- [गतौ]१.८२० ;;
bis	बिस् ; दि० सेट् प० ; विस प्रेरणे ४.१२३ ;;
biT	बिट् ; भ्वा० सेट् प० ; बिट आक्रोशे १.३५५ ;;
blii	ब्ली ; क्र्या० अनिट् प० ; ब्ली [वरणे]इत्येके ९.३८ ;;
braN	ब्रण् ; भ्वा० सेट् प० ; व्रण- (ब्रण- )[शब्दार्थः]१.५१९ ;;
bRh	बृह् ; भ्वा० सेट् प० ; बृह- (वृह- )[वृद्धौ]; बृहिर् (वृहिर्)[वृद्धौ [शब्दे च]]इत्येके १.८३६ ;;
bRh	बृह् ; तु० सेट् प० ; बृहू [उद्यमने]इत्येके ६.७४ ;;
bRMh	बृंह् ; भ्वा० सेट् प० ; बृहि (वृहि)वृद्धौ ; बृहि (वृहि)शब्दे च १.८३७ ;;
bRMh	बृंह् ; चु० सेट् उ० (१.३.७४); बृहि- (वृहि- )[भाषार्थः]१०.२९९ ;;
bruu	ब्रू ; अ० सेट् (अनिट्)उ० ; ब्रूञ् (ब्रूञ्)व्यक्तायां वाचि २.३९ ;;
bruus	ब्रूस् ; चु० सेट् उ० (१.३.७४); ब्रूस- [हिंसायाम्]१०.१७२ ;;
budh	बुध् ; भ्वा० सेट् उ० ; बुधिर् बोधने १.१०१६ ;;
budh	बुध् ; भ्वा० सेट् प० ; बुध अवगमने १.९९४ ;;
budh	बुध् ; दि० अनिट् आ० ; बुध अवगमने ४.६८ ;;
bukk	बुक्क् ; भ्वा० सेट् प० ; बुक्क भषणे १.१२६ ;;
bukk	बुक्क् ; चु० सेट् उ० (१.३.७४); बुक्क भाषणे १०.२३८ ;;
bund	बुन्द् ; भ्वा० सेट् उ० ; उबुन्दिर् निशामने १.१०१७ ;;
buNg	बुङ्ग् ; भ्वा० सेट् प० ; बुगि वर्जने १.१७७ ;;
bus	बुस् ; दि० सेट् प० ; बुस [विभागे]इत्यपरे ४.११७ ;;
bus	बुस् ; दि० सेट् प० ; बुस उत्सर्गे ४.१२९ ;;
bust	बुस्त् ; चु० सेट् उ० (१.३.७४); बुस्त आदरानादरयोः १०.८० ;;
byus	ब्युस् ; दि० सेट् प० ; ब्युस [विभागे]इत्यन्ये ४.११६ ;;
chaay	चाय् ; भ्वा० सेट् उ० ; चायृ पूजानिशामनयोः १.१०२३ ;;
chad	चद् ; भ्वा० सेट् उ० ; चदे [परिभाषणे]याचने (च)१.१००४ ;;
chad	चद (चद्); चु० सेट् उ० (१.३.७४); चद अपवारणे १०.४८१ ;;
chad	चद् ; चु० सेट् उ० (१.३.७४); चद अपवारणे १०.३७० ;;
chad	चद् ; चु० सेट् उ० (१.३.७४); चद संवरणे १०.३५९ ;;
chad	चद् ; चदिर् ऊर्जने [मित्]१.९२५ ;;
chah	चह (चह्); चु० सेट् उ० (१.३.७४); चह परिकल्कने १०.४०५ ;;
chah	चह् ; भ्वा० सेट् प० ; चह परिकल्कने १.८३० ;;
chah	चह् ; चु० सेट् उ० (१.३.७४); चह(म्)परिकल्पने १०.१२० ;;
chak	चक् ; भ्वा० सेट् आ० ; चक तृप्तौ प्रतिघाते च १.९८ ;;
chak	चक् ; भ्वा० सेट् प० ; चक(म्)तृप्तौ १.८९२ ;;
chakaas	चकास् ; अ० सेट् प० ; चकासृ दीप्तौ २.६९ ;;
chakk	चक्क् ; चु० सेट् उ० (१.३.७४); चक्क- [व्यथने]१०.८४ ;;
chal	चल् ; भ्वा० सेट् प० ; चल कम्पने १.९६६ ;;
chal	चल् ; चु० सेट् उ० (१.३.७४); चल भृतौ १०.९७ ;;
chal	चल् ; तु० सेट् प० ; चल विलसने ६.८३ ;;
chal	चल् ; कम्पने चलिः [मित्]१.९२४ ;;
cham	चम् ; [न]- चमाम् [मित्]१.९५१ ;;
cham	चम् ; भ्वा० सेट् प० ; चमु- [अदने]१.५४० ;;
cham	चम् ; स्वा० सेट् प० ; चमु भक्षणे ५.३१ ;;
cham	चम् ; भ्वा० सेट् प० ; चमु- [अदने]१.५४१ ;;
champ	चम्प् ; चु० सेट् उ० (१.३.७४); चपि गत्याम् १०.१११ ;;
chaN	चण् ; भ्वा० सेट् प० ; चण(म्)- [[गतौ]दाने च]१.९०५ ;;
chan	चन् ; भ्वा० सेट् प० ; चन(म्)च [हिंसार्थः]१.९१४ ;;
chan	चन् ; चु० सेट् उ० (१.३.७४); चन श्रद्धोपहननयोरित्येके १०.३७८ ;;
chanch	चञ्च् ; भ्वा० सेट् प० ; चञ्चु- [गत्यर्थः]१.२१७ ;;
chaND	चण्ड् ; भ्वा० सेट् आ० ; चडि कोपे १.३१२ ;;
chaND	चण्ड् ; चु० सेट् उ० (१.३.७४); चडि कोपे ; चण्ड इत्यन्ये १०.७५ ;;
chand	चन्द् ; भ्वा० सेट् प० ; चदि आह्लादे दीप्तौ च १.७१ ;;
chand	चन्द् ; चु० सेट् उ० (१.३.७४); चदि संवरणे १०.६२ ;;
chanj	चञ्ज् ; चु० सेट् उ० (१.३.७४); चजि [कृच्च्रजीवने]इत्येके १०.११४ ;;
chap	चप् ; भ्वा० सेट् प० ; चप सान्त्वने १.४६५ ;;
chap	चप् ; चु० सेट् उ० (१.३.७४); चप(म्)[परिकल्पने]इत्येके १०.१२१ ;;
char	चर् ; भ्वा० सेट् प० ; चर गत्यर्थाः ; चरतिर्भक्षणर्थो- पि (चर भक्षणे च)(चरतिर्भक्षणे- पि)१.६४० ;;
char	चर् ; चु० सेट् उ० (१.३.७४); चर संशये १०.२७४ ;;
charb	चर्ब् ; भ्वा० सेट् प० ; चर्ब गतौ ; चर्ब अदने च १.४९१ ;;
charch	चर्च् ; भ्वा० सेट् प० ; चर्च- [परिभाषणहिंसातर्जनेषु]१.८१४ ;;
charch	चर्च् ; चु० सेट् उ० (१.३.७४); चर्च अध्ययने १०.२३७ ;;
charch	चर्च् ; तु० सेट् प० ; चर्च- [परिभाषणभर्त्सनयोः]६.१९ ;;
chard	चर्द् ; चु० सेट् उ० (१.३.७४); चर्द (चृद)वमने १०.७८ ;;
charv	चर्व् ; भ्वा० सेट् प० ; चर्व अदने १.६६० ;;
chaSh	चष् ; भ्वा० सेट् उ० ; चष भक्षणे १.१०३४ ;;
chaSh	चष् ; भ्वा० सेट् उ० ; चष हिंसायाम् १.१०३५ ;;
chaT	चट् ; भ्वा० सेट् प० ; चटे [वर्षावरणयोः]इत्येके १.३३१ ;;
chaT	चट् ; चु० सेट् उ० (१.३.७४); चट- [भेदने]१०.२४६ ;;
chat	चत् ; भ्वा० सेट् उ० ; चते- [[परिभाषणे]याचने (च)]१.१००३ ;;
chax	चक्ष् ; अ० अनिट् आ० ; चक्षिङ् व्यक्तायां वाचि ; अयं दर्शने- पि २.७ ;;
chay	चय् ; भ्वा० सेट् आ० ; चय- [गतौ]१.५५० ;;
ched	चेद (चेद्); चु० सेट् उ० (१.३.७४); चेद द्वैधीकरणे १०.४८० ;;
chel	चेल् ; भ्वा० सेट् प० ; चेलृ- [चलने]१.६१५ ;;
cheShT	चेष्ट् ; भ्वा० सेट् आ० ; चेष्ट चेष्टायाम् १.२८९ ;;
chi	चि ; चु० सेट् उ० (१.३.७४); चि- (जुचि जिवि)[[भाषार्थः]च]१०.३२५ ;;
chi	चि ; चु० सेट् उ० (१.३.७४); चिञ्(म्)चयने १०.१२४ ;;
chi	चि ; स्वा० अनिट् उ० ; चिञ् चयने ५.५ ;;
chid	चिद् ; रु० अनिट् उ० ; चिदिर् द्वैधीकरणे ७.३ ;;
chidr	चिद्र (चिद्र्); चु० सेट् उ० (१.३.७४); चिद्र कर्णभेदने ; करणभेदन इत्येके १०.४६९ ;;
chiib	चीब् ; भ्वा० सेट् उ० ; चीबृ [आदानसंवरणयोः]इत्येके १.१०२२ ;;
chiib	चीब् ; चु० सेट् उ० (१.३.७४); चीव- (चीब- )[भाषार्थः]१०.३०५ ;;
chiibh	चीभ् ; भ्वा० सेट् आ० ; चीभृ च [कत्थने]१.४४६ ;;
chiik	चीक् ; चु० सेट् उ० (१.३.७४); चीक [आमर्षणे]च १०.३६४ ;;
chiiv	चीव् ; भ्वा० सेट् उ० ; चीवृ आदानसंवरणयोः १.१०२१ ;;
chiiv	चीव् ; चु० सेट् उ० (१.३.७४); चीव- (चीब- )[भाषार्थः]१०.३०५ ;;
chil	चिल् ; तु० सेट् प० ; चिल वसने ६.८२ ;;
chill	चिल्ल् ; भ्वा० सेट् प० ; चिल्ल शैथिल्ये भावकरणे च १.६११ ;;
chint	चिन्त् ; चु० सेट् उ० (१.३.७४); चिति स्मृत्याम् १०.२ ;;
chiri	चिरि ; स्वा० सेट् प० ; चिरि- [हिंसायाम्]५.३४ ;;
chiT	चिट् ; भ्वा० सेट् प० ; चिट परप्रैष्ये (परप्रेष्ये)१.३५३ ;;
chit	चित् ; भ्वा० सेट् प० ; चिती सञ्ज्ञाने १.३९ ;;
chit	चित् ; चु० सेट् आ० ; चित सञ्चेतने १०.१९२ ;;
chitr	चित्र (चित्र्); चु० सेट् उ० (१.३.७४); चित्र चित्रीकरणे ; कदाचिद्दर्शने १०.४५९ ;;
cho	चो ; दि० अनिट् प० ; चो चेदने ४.४१ ;;
chRd	चृद् ; चु० सेट् उ० (१.३.७४); चृदी सन्दीपने १०.३५२ ;;
chRd	चृद् ; रु० सेट् उ० ; उचृदिर् दीप्तिदेवनयोः ७.८ ;;
chRp	चृप् ; चु० सेट् उ० (१.३.७४); चृप- [सन्दीपने (इत्येके)]१०.३५३ ;;
chRp	चृप् ; चु० सेट् उ० (१.३.७४); चृप- [सन्दीपने (इत्येके)]१०.३५४ ;;
chRt	चृत् ; तु० सेट् प० ; चृती हिंसाग्रन्थनयोः ६.४९ ;;
