क्रमाङ्कः	औपदेशिक-धातुः	टिप्पणिः	अर्थः	निरनुबन्ध-धातुः	क्त	क्तवतु	क्त्वा	ल्यप्	तुमुन्	तव्यत् 	तृच् 	लृट् प॰	लृट् आ॰	ण्वुल्	घञ्	(ण्)यत्	अनीयर्	ल्युट्
365	मन		ज्ञाने	मन्	मतः	मतवान्	मत्वा	विमत्य	मन्तुम्	मन्तव्यम्	मन्ता		मंस्यते	मानकः	मानः	मान्यम्	मननीयम्	मननम्	
366	मनु		अवबोधने	मन्	मतः	मतवान्	मत्वा/मनित्वा		मन्तुम्	मन्तव्यम्	मनिता	मनिष्यते		मानकः	मानः	मान्यम्	मननीयम्	मननम्	
367	हन		हिंसागत्योः	हन्	हतः	हतवान्	हत्वा	निहत्य	हन्तुम्	हन्तव्यम्	हन्ता	हनिष्यति	आहनिष्यते	घातकः	घातः/वधः	घात्यम्	हननीयम्	हननम्	
368	पन		स्तुतौ	पन्	पनायितः/पनितः	पनायितवान्/पनितवान्	पनायित्वा/पनित्वा	प्रपनाय्य/प्रपन्य	पनायितुम्/पनितुम्	पनायितव्यम्/पनितव्यम्	पनायिता/पनिता	पनायिष्यति/पनायिष्यति	पनिष्यते	पनायकः/पानकः	पनायः/पानः	पनाय्यम्/पान्यम्	पनायनीयम्/पननीयम्	पनायनम्/पननम्	
369	खनु		अवदारणे	खन्	खातः	खनितवान्	खनित्वा/खात्वा	प्रखन्य/प्रखाय	खनितुम्	खनितव्यम्	खनिता	खनिष्यति	खनिष्यते	खानकः	खानः	खान्यम्	खननीयम्	खननम्	
370	जनी		प्रादुर्भावे	जन्	जातः	जातवान्	जनित्वा	विजन्य/प्रजाय	जनितुम्	जनितव्यम्	जनिता		जनिष्यते	जनकः	जनः	जन्यम्	जननीयम्	जननम्	
371	जन		जनने	जन्	जनितः	जनितवान्	जनित्वा	विजन्य/विजाय	जनितुम्	जनितव्यम्	जनिता	जनिष्यति		जनकः	जनः	जन्यम्	जननीयम्	जननम्	
372	षणु		दाने	सन्	सातः	सातवान्	सात्वा/सनित्वा	प्रसत्य/प्रसाय	सनितुम्	सनितव्यम्	सनिता	सनिष्यति	सनिष्यते	सानकः	सानः	सान्यम्	सननीयम्	सननम्	
373	षण		सम्भक्तौ	सन्	सनितः	सनितवान्	सनित्वा	प्रसन्य	सनितुम्	सनितव्यम्	सनिता	सनिष्यति		सानकः	सानः	सान्यम्	सननीयम्	सननम्	
374	कनी		दीप्तिकान्तिगतिषु	कन्	कान्तः	कान्तवान्	कनित्वा	प्रकन्य	कनितुम्	कनितव्यम्	कनिता	कनिष्यति		कानकः	कानः	कान्यम्	कननीयम्	कननम्	
375	ष्टन		शब्दे	स्तन्	स्तनितः	स्तनितवान्	स्तनित्वा	प्रसन्त्य	स्तनितुम्	स्तनितव्यम्	स्तनिता	स्तनिष्यति		स्तानकः	स्तानः	स्तान्यम्	स्तननीयम्	स्तननम्	
376	वन		शब्दे	वन्	वनितः	वनितवान्	वनित्वा	प्रवन्य	वनितुम्	वनितव्यम्	वनिता	वनिष्यति		वानकः	वानः	वान्यम्	वननीयम्	वननम्	
377	वन		सम्भक्तौ	वन्	वनितः	वनितवान्	वनित्वा	प्रवन्य	वनितुम्	वनितव्यम्	वनिता	वनिष्यति		वानकः	वानः	वान्यम्	वननीयम्	वननम्	
378	वन		हिंसायाम्	वन्	वनितः	वनितवान्	वनित्वा	प्रवन्य	वनितुम्	वनितव्यम्	वनिता	वनिष्यति		वानकः	वानः	वान्यम्	वननीयम्	वननम्	
379	स्वन		शब्दे	स्वन्	स्वनितः	स्वनितवान्	स्वनित्वा	प्रस्वन्य	स्वनितुम्	स्वनितव्यम्	स्वनिता	स्वनिष्यति		स्वानकः	स्वनः/स्वानः	स्वान्यम्	स्वननीयम्	स्वननम्	
380	ध्वन		शब्दे	ध्वन्	ध्वनितः	ध्वनितवान्	ध्वनित्वा	प्रध्वन्य	ध्वनितुम्	ध्वनितव्यम्	ध्वनिता	ध्वनिष्यति		ध्वानकः	ध्वानः	ध्वान्यम्	ध्वननीयम्	ध्वननम्	
381	अन		प्राणने	अन्	अनितः	अनितवान्	अनित्वा	प्राण्य	अनितुम्	अनितव्यम्	अनिता	अनिष्यति		आनकः	आनः	आन्यम्	अननीयम्	अननम्	
382	धन		धान्ये	धन्	धनितः	धनितवान्	धनित्वा	प्रधन्य	धनितुम्	धनितव्यम्	धनिता	धनिष्यति		धानकः	धानः	धान्यम्	धननीयम्	धननम्	
383	ञिष्वप्		शये	स्वप्	स्वपितः	स्वपितवान्	स्वपित्वा	प्रसुप्य	स्वप्तुम्	स्वप्तव्यम्	स्वप्ता	स्वप्स्यति		स्वापकः	स्वापः	स्वप्यम्	स्वपनीयम्	स्वपनम्	
384	क्रप		कृपायां गतौ च	क्रप्	क्रपितः	क्रपितवान्	क्रपित्वा	विक्रप्य	क्रपितुम्	क्रपितव्यम्	क्रपिता	क्रप्स्यति		क्रापकः	क्रापः	क्रप्यम्	क्रपनीयम्	क्रपनम्	
385	तप		सन्तापे	तप्	तप्तः	तप्तवान्	तप्त्वा	प्रतप्य	तप्तुम्	तप्तव्यम्	तप्ता	तप्स्यति		तापकः	तापः	ताप्यम्	तपनीयम्	तपनम्	
386	तप		दाहे ऐश्वर्ये वा	तप्तः	तप्तवान्	तप्त्वा	वितप्य	तप्तुम्	तप्तव्यम्	तप्ता	तप्स्यति			तापकः	तापः	ताप्यम्	तपनीयम्	तपनम्	
387	शप		आक्रोशे	शप्	शप्तः	शप्तवान्	शप्त्वा	विशप्य	शप्तुम्	शप्तव्यम्	शप्ता	शप्स्यति	शप्स्यते	शापकः	शापः	शाप्यम्	शपनीयम्	शपनम्	
388	शप		आक्रोशे	शप्	शप्तः	शप्तवान्	शप्त्वा	विशप्य	शप्तुम्	शप्तव्यम्	शप्ता	शप्स्यति	शप्स्यते	शापकः	शापः	शाप्यम्	शपनीयम्	शपनम्	
389	जप		व्यक्तायां वाचि	जप्	जपितः	जपितवान्	जपित्वा	प्रजप्य	जपितुम्	जपितव्यम्	जपिता	जपिष्यति		जापकः	जापः	जाप्यम्	जपनीयम्	जपनम्	
390	चप		सान्त्वने	चप्	चपितः	चपितवान्	चपित्वा	प्रचप्य	चपितुम्	चपितव्यम्	चपिता	चपिष्यति		चापकः	चापः	चप्यम्	चपनीयम्	चपनम्	
391	षप		समवाये	सप्	सपितः	सपितवान्	सपित्वा	प्रसप्य	सपितुम्	सपितव्यम्	सपिता	सपिष्यति		सापकः	सापः	साप्यम्	सपनीयम्	सपनम्	
392	रप		व्यक्तायां वाचि	रप्	रपितः	रपितवान्	रपित्वा	प्ररप्य	रपितुम्	रपितव्यम्	रपिता	रपिष्यति		रापकः	रापः	राप्यम्	रपनीयम्	रपनम्	
393	लप		व्यक्तायां वाचि	लप्	लपितः	लपितवान्	लपित्वा	प्रलप्य	लपितुम्	लपितव्यम्	लपिता	लपिष्यति		लापकः	लापः	लाप्यम्	लपनीयम्	लपनम्	
394	त्रपूष्		लज्जायाम्	त्रप्	त्रप्तः	त्रप्तवान्	त्रपित्वा/त्रप्त्वा	वित्रप्य	त्रपितुम्/त्रप्तुम्	त्रपितव्यम्/त्रप्तव्यम्	त्रपिता/त्रप्ता		त्रपिष्यते	त्रापकः	त्रापः	त्राप्यम्	त्रपनीयम्	त्रपनम्	
395	डुवप्		बीजसन्ताने छेदने च	वप्	उप्तः	उप्तवान्	उप्त्वा	प्रोप्य	वप्तुम्	वप्तव्यम्	वप्ता	वप्स्यति		वापकः	वापः	वाप्यम्	वपनीयम्	वपनम्	
396	रफ		गतौ	रफ्	रफितः	रफितवान्	रफित्वा	प्ररफ्य	रफितुम्	रफितव्यम्	रफिता	रफिष्यति		राफकः	राफः	रफ्यम्	रफनीयम्	रफनम्	
397	कबृ		वर्णे	कब्	कबितः	कबितवान्	कबित्वा	प्रकब्य	कबितुम्	कबितव्यम्	कबिता		कबिष्यते	काबकः	काबः	काब्यम्	कबनीयम्	कबनम्	
398	रभ		राभस्ये	रभ्	रब्धः	रब्धवान्	रब्ध्त्वा	आरभ्य	रब्धुम्	रब्धव्यम्	रब्धा		रप्स्यते	राभकः	राभः	रभ्यम्	रभनीयम्	रभनम्	
399	डुलभष्		प्राप्तौ	लभ्	लब्धः	लब्धवान्	लब्ध्वा	प्रलभ्य	लब्धुम्	लब्धव्यम्	लब्धा		लप्स्यते	लाभकः	लाभः	लभ्यम्	लभनीयम्	लभनम्	
400	जभी		गात्रविनामे	जभ्	जब्धः	जब्धवान्	जम्भित्वा	आजभ्य	जम्भितुम्	जम्भितव्यम्	जम्भिता		जम्भिष्यते	जम्भकः	जम्भः	जभ्यम्	जम्भनीयम्	जम्भनम्	
401	यभ		मैथुने	यभ्	यब्धः	यब्धवान्	यब्ध्वा	प्रयभ्य	यब्धुम्	यब्धव्यम्	यब्धा	यप्स्यति		याभकः	याभः	यभ्यम्	यभनीयम्	यभनम्	
402	णभ		हिंसायाम्	नभ्	नभितः	नभितवान्	नभित्वा	विनभ्य	नभितुम्	नभितव्यम्	नभिता	नभिष्यति		नाभकः	नाभः	नभ्यम्	नभनीयम्	नभनम्	
403	णभ		हिंसायाम्	नभ्	नभितः	नभितवान्	नभित्वा	विनभ्य	नभितुम्	नभितव्यम्	नभिता		नभिष्यते	नाभकः	नाभः	नभ्यम्	नभनीयम्	नभनम्	
404	णभ		हिंसायाम्	नभ्	नभितः	नभितवान्	नभित्वा	विनभ्य	नभितुम्	नभितव्यम्	नभिता	नभिष्यति		नाभकः	नाभः	नभ्यम्	नभनीयम्	नभनम्	
405	गमॢ		गतौ	गम्	गतः	गतवान्	गत्वा	आगम्य	गन्तुम्	गन्तव्यम्	गन्ता	गमिष्यति		गामकः	गमः	गम्यम्	गमनीयम्	गमनम्	
406	रमु		क्रीडायाम्	रम्	रतः	रतवान्	रत्वा	विरम्य	रन्तुम्	रन्तव्यम्	रन्ता		रंस्यते	रामकः	रामः	रम्यम्	रमणीयम्	रमणम्	
407	णम		प्रह्वत्वे शब्दे च	नम्	नतः	नतवान्	नत्वा	आनम्य/आनत्य	नन्तुम्	नन्तव्यम्	नन्ता	नंस्यति		नामकः	नामः	नम्यम्	नमनीयम्	नमनम्	
408	यम		उपरमे	यम्	यतः	यतवान्	यत्वा	प्रयत्य	यन्तुम्	यन्तव्यम्	यन्ता	यंस्यति		यामकः	यमः/यामः	यम्यम्	यमनीयम्	यमनम्	
409	भ्रमु		चलने	भ्रम्	भ्रान्तः	भ्रान्तवान्	भ्रमित्वा/भ्रान्त्वा	विभ्राम्य	भ्रमितुम्	भ्रमितव्यम्	भ्रमिता	भ्रमिष्यति		भ्रमकः	भ्रमः	भ्रम्यम्	भ्रमणीयम्	भ्रमणम्	
410	शमु		उपशमे	शम्	शान्तः	शान्तवान्	शान्त्वा/शमित्वा	प्रशम्य	शमितुम्	शमितव्यम्	शमिता	शमिष्यति		शमकः	शमः	शम्यम्	शमनीयम्	शमनम्	
411	तमु		काङ्क्षायाम्	तम्	तान्तः	तान्तवान्	तान्त्वा/तमित्वा	प्रतम्य	तमितुम्	तमितव्यम्	तमिता	तमिष्यति		तमकः	तमः	तम्यम्	तमनीयम्	तमनम्	
412	दमु		उपशमे		दान्तः	दान्तवान्	दान्त्वा	विदम्य	दमितुम्	दमितव्यम्	दमिता	दमिष्यति		दमकः	दमः	दम्यम्	दमनीयम्	दमनम्	
413	श्रमु		तपसि खेदे च	श्रम्	श्रान्तः	श्रान्तवान्	श्रान्त्वा/श्रमित्वा	विश्रम्य	श्रमितुम्	श्रमितव्यम्	श्रमिता	श्रमिष्यति		श्रमकः	श्रमः	श्रम्यम्	श्रमणीयम्	श्रमणम्	
414	भ्रमु		अनवस्थाने	भ्रम्	भ्रान्तः	भ्रान्तवान्	भ्रान्त्वा/भ्रमित्वा	विभ्रम्य	भ्रमितुम्	भ्रमितव्यम्	भ्रमिता	भ्रमिष्यति		भ्रमकः	भ्रमः	भ्रम्यम्	भ्रमणीयम्	भ्रमणम्	
415	क्षमू		सहने	क्षम्	क्षान्तः	क्षान्तवान्	क्षान्त्वा	विक्षम्य	क्षन्तुम्	क्षन्तव्यम्	क्षन्ता	क्षंस्यति		क्षामकः	क्षमः	क्षम्यम्	क्षमणीयम्	क्षमणम्	
416	क्लमु		ग्लानौ	क्लम्	क्लान्तः	क्लान्तवान्	क्लान्त्वा/क्लमित्वा	विक्लम्य	क्लमितुम्	क्लमितव्यम्	क्लमिता	क्लमिष्यति		क्लमकः	क्लमः	क्लम्यम्	क्लमनीयम्	क्लमनम्	
417	कमु		कान्तौ	कम्	कान्तः	कान्तवान्	कमित्वा/कान्त्वा	प्रकम्य	कमितुम्	कमितव्यम्	कमिता		कमिष्यते	कामकः	कामः	काम्यम्	कमनीयम्	कमनम्	
418	क्रमु		पादविक्षेपे	क्रम्	क्रान्तः	क्रान्तवान्	क्रमित्वा/क्रन्त्वा/क्रान्त्वा	आक्रम्य	क्रमितुम्	क्रमितव्यम्	क्रमिता	क्रमिष्यति		क्रमकः	क्रमः	क्रम्यम्	क्रमणीयम्	क्रमणम्	
419	चमु		अदने	चम्	आचान्तः	आचान्तवान्		आचम्य	आचमितुम्	आचमितव्यम्	आचमिता	आचमिष्यति		आचामकः	आचमः	आचम्यम्	आचमनीयम्	आचमनम्	
420	चमु		भक्षणे	चम्	चान्तः	चान्तवान्	चान्त्वा	आचम्य	चमितुम्	चमितव्यम्	चमिता	चमिष्यति		चमकः	चमः	चम्यम्	चमनीयम्	चमनम्	
421	छमु		अदने	छम्	छान्तः	छान्तवान्	छान्त्वा	प्रच्छन्य	छमितुम्	छमितव्यम्	छमिता	छमिष्यति		छमकः	छमः	छम्यम्	छमनीयम्	छमनम्	
422	जमु		अदने	जम्	जान्तः	जान्तवान्	जान्त्वा	प्रजन्य	जमितुम्	जमितव्यम्	जमिता	जमिष्यति		जमकः	जमः	जम्यम्	जमनीयम्	जमनम्	
423	झमु		अदने	झम्	झान्तः	झान्तवान्	झान्त्वा	प्रझम्य	झमितुम्	झमितव्यम्	झमिता	झमिष्यति		झमकः	झमः	झम्यम्	झमनीयम्	झमनम्	
423.1	जिमु इति केचित्			जिम्	जीन्तः	जीन्तवान्	जेमित्वा/जिमित्वा/जीन्त्वा	प्रजम्य	जेमितुम्	जेमितव्यम्	जेमिता	जेमिष्यति		जेमकः	जेमः	जेम्यम्	जेमनीयम्	जमनम्	
424	अम		गत्यादिषु	अम्	अमितः	अमितवान्	अमित्वा	प्राम्य	अमितुम्	अमितव्यम्	अमिता	अमिष्यति		अमकः	अमः	अम्यम्	अमनीयम्	अमनम्	
425	क्षमूष्		सहने	क्षम्	क्षान्तः	क्षान्तवान्	क्षमित्वा	प्रक्षिम्य	क्षमितुम्	क्षमितव्यम्	क्षमिता		क्षमिष्यते	क्षमकः	क्षमः	क्षाम्यम्	क्षमणीयम्	क्षमणम्	
426	स्यमु		शब्दे	स्यम्	स्यान्तः	स्यान्तवान्	स्यमित्वा	प्रस्यम्य	स्यमितुम्	स्यमितव्यम्	स्यमिता	स्यमिष्यति		स्यामकः	स्यमः	स्यम्यम्	स्यमनीयम्	स्यमनम्	
427	टुवम		उद्गिरणे	वम्	वमितः	वमितवान्	वमित्वा	विवम्य	वमितुम्	वमितव्यम्	वमिता	वमिष्यति		वामकः	वामः	वम्यम्	वमनीयम्	वमनम्	
428	द्रम		गतौ	द्रम्	द्रमितः	द्रमितवान्	द्रमित्वा	प्रद्रम्य	द्रमितुम्	द्रमितव्यम्	द्रमिता	द्रमिष्यति		द्रमकः	द्रमः	द्रम्यम्	द्रमनीयम्	द्रमनम्	
429	षम		अवैकल्ये	सम्	समितः	समितवान्	समित्वा	प्रसम्य	समितुम्	समितव्यम्	समिता	समिष्यति		समकः	समः	सम्यम्	समनीयम्	समनम्	
430	ष्टम		अवैकल्ये	स्तम्	स्तमितः	स्तमितवान्	स्तमित्वा	प्रस्तम्य	स्तमितुम्	स्तमितव्यम्	स्तमिता	स्तमिष्यति		स्तमकः	स्तमः	स्तम्यम्	स्तमनीयम्	स्तमनम्	
431	हय		गतौ	हय्	हयितः	हयितवान्	हयित्वा	प्राय्य	हयितुम्	हयितव्यम्	हयिता	हयिष्यति		हायकः	हायः	हाय्यम्	हयनीयम्	हयनम्	
432	अय		गतौ	अय्	अयितः	अयितवान्	अयित्वा	प्राय्य	अयितुम्	अयितव्यम्	अयिता		अयिष्यते	आयकः	आयः	आय्यम्	अयनीयम्	अयनम्	
433	वय		गतौ	वय्	वयितः	वयितवान्	वयित्वा	प्रवय्य	वयितुम्	वयितव्यम्	वयिता		वयिष्यते	वायकः	वायः	वाय्यम्	वयनीयम्	वयनम्	
434	पय		गतौ	पय्	पयितः	पयितवान्	पयित्वा	प्रपय्य	पयितुम्	पयितव्यम्	पयिता		पयिष्यते	पायकः	पायः	पाय्यम्	पयनीयम्	पयनम्	
435	मय		गतौ	मय्	मयितः	मयितवान्	मयित्वा	प्रमय्य	मयितुम्	मयितव्यम्	मयिता		मयिष्यते	मायकः	मायः	माय्यम्	मयनीयम्	मयनम्	
436	चय		गतौ	चय्	चयितः	चयितवान्	चयित्वा	प्रचय्य	चयितुम्	चयितव्यम्	चयिता		चयिष्यते	चायकः	चायः	चाय्यम्	चयनीयम्	चयनम्	
437	तय		गतौ	तय्	तयितः	तयितवान्	तयित्वा	प्रतय्य	तयितुम्	तयितव्यम्	तयिता		तयिष्यते	तायकः	तायः	ताय्यम्	तयनीयम्	तयनम्	
438	णय		गतौ	नय्	नयितः	नयितवान्	नयित्वा	विनय्य	नयितुम्	नयितव्यम्	नयिता		नयिष्यते	नायकः	नायः	नाय्यम्	नयनीयम्	नयनम्	
439	दय		दानगतिरक्षणहिंसादानेषु	दय्	दयितः	दयितवान्	दयित्वा	विदय्य	दयितुम्	दयितव्यम्	दयिता		दयिष्यते	दायकः	दायः	दाय्यम्	दयनीयम्	दयनम्	
440	रय, लय		गतौ		रयितः	रयितवान्	रयित्वा	प्ररय्य	रयितुम्	रयितव्यम्	रयिता		रयिष्यते	रायकः	रायः	राय्यम्	रयणीयम्	रयणम्	
441	व्यय		गतौ	व्यय्	व्ययितः	व्ययितवान्	व्ययित्वा	प्रव्यय्य	व्ययितुम्	व्ययितव्यम्	व्ययिता		व्ययिष्यते	व्यायकः	व्यायः	व्याय्यम्	व्ययनीयम्	व्ययनम्	
442	चर		गत्यर्थः	चर्	चरितः	चरितवान्	चरित्वा	आचर्य	चरितुम्	चरितव्यम्	चरिता	चरिष्यति		चारकः	चारः	चार्यम्	चरणीयम्	चरणम्	
443	ञित्वरा		सम्भ्रमे	त्वर्	त्वरितः	त्वरितवान्	त्वरित्वा	सन्त्वर्य	त्वरितुम्	त्वरितव्यम्	त्वरिता	त्वरिष्यति		त्वारकः	त्वारः	त्वार्यम्	त्वरणीयम्	त्वरणम्	
444	ज्वर		रोगे	ज्वर्	ज्वरितः	ज्वरितवान्	ज्वरित्वा	विज्वर्य	ज्वरितुम्	ज्वरितव्यम्	ज्वरिता	ज्वरिष्यति		ज्वारकः	ज्वारः	ज्वार्यम्	ज्वरणीयम्	ज्वरणम्	
445	त्सर		छद्मगतौ	त्सर्	त्सरितः	त्सरितवान्	त्सरित्वा	प्रत्सर्य	त्सरितुम्	त्सरितव्यम्	त्सरिता	त्सरिष्यति		त्सारकः	त्सारः	त्सार्यम्	त्सरणीयम्	त्सरणम्	
446	क्मर		हूर्च्छने	क्मर्	क्मरितः	क्मरितवान्	क्मरित्वा	प्रक्मर्य	क्मरितुम्	क्मरितव्यम्	क्मरिता	क्मरिष्यति		क्मारकः	क्मारः	क्मार्यम्	क्मरणीयम्	क्मरणम्	
447	क्षर		सञ्चलने	क्षर्	क्षरितः	क्षरितवान्	क्षरित्वा	विक्षर्य	क्षरितुम्	क्षरितव्यम्	क्षरिता	क्षरिष्यति		क्षारकः	क्षारः	क्षार्यम्	क्षरणीयम्	क्षरणम्	
448	ञिफला		विशरणे	फल्	फुल्लः/फलितः/प्रफुल्लः	फुल्लवान्/फलितवान्/प्रफुल्लवान् 	फलित्वा	प्रफल्य	फलितुम्	फलितव्यम्	फलिता	फलिष्यति		फालकः	फालः	फाल्यम्	फलनीयम्	फलनम्	
449	चल		कम्पने	चल्	चलितः	चलितवान्	चलित्वा	प्रचल्य	चलितुम्	चलितव्यम्	चलिता	चलिष्यति		चालकः	चालः	चाल्यम्	चलनीयम्	चलनम्	
450	ज्वल		दीप्तौ	ज्वल्	ज्वलितः	ज्वलितवान्	ज्वलित्वा	प्रज्वल्य	ज्वलितुम्	ज्वलितव्यम्	ज्वलिता	ज्वलिष्यति		ज्वालकः	ज्वालः	ज्वाल्यम्	ज्वलनीयम्	ज्वलनम्	
451	ज्वल		दीप्तौ	ज्वल्	ज्वलितः	ज्वलितवान्	ज्वलित्वा	प्रज्वल्य	ज्वलितुम्	ज्वलितव्यम्	ज्वलिता	ज्वलिष्यति		ज्वालकः	ज्वालः	ज्वाल्यम्	ज्वलनीयम्	ज्वलनम्	
452	जल		घातने	जल्	जलितः	जलितवान्	जलित्वा	प्रजल्य	जलितुम्	जलितव्यम्	जलिता	जलिष्यति		जालकः	जालः	जाल्यम्	जलनीयम्	जलनम्	
453	टल		वैकल्ये	टल्	टलितः	टलितवान्	टलित्वा	प्रटल्य	टलितुम्	टलितव्यम्	टलिता	टलिष्यति		टालकः	टालः	टाल्यम्	टलनीयम्	टलनम्	
454	ट्वल		वैकल्ये	ट्वल्	ट्वलितः	ट्वलितवान्	ट्वलित्वा	प्रट्वल्य	ट्वलितुम्	ट्वलितव्यम्	ट्वलिता	ट्वलिष्यति		ट्वालकः	ट्वालः	ट्वाल्यम्	ट्वलनीयम्	ट्वलनम्	
455	ष्ठल		स्थाने	स्थल्	स्थलितः	स्थलितवान्	स्थलित्वा	प्रस्थल्य	स्थलितुम्	स्थलितव्यम्	स्थलिता	स्थलिष्यति		स्थालकः	स्थालः	स्थाल्यम्	स्थलनीयम्	स्थलनम्	
456	हल		विलेखने	हल्	हलितः	हलितवान्	हलित्वा	प्रहल्य	हलितुम्	हलितव्यम्	हलिता	हलिष्यति		हालकः	हालः	हाल्यम्	हलनीयम्	हलनम्	
457	णल		गन्धे (बन्धन इत्येके)	नल्	नलितः	नलितवान्	नलित्वा	विनल्य	नलितुम्	नलितव्यम्	नलिता	नलिष्यति		नालकः	नालः	नालयम्	नलनीयम्	नलनम्	
458	पल		गतौ	पल्	पलितः	पलितवान्	पलित्वा	विपल्य	पलितुम्	पलितव्यम्	पलिता	पलिष्यति		पालकः	पालः	पाल्यम्	पलनीयम्	पलनम्	
459	बल		प्राणने	बल्	बलितः	बलितवान्	बलित्वा	विबल्य	बलितुम्	बलितव्यम्	बलिता	बलिष्यति		बालकः	बालः	बाल्यम्	बलनीयम्	बलनम्	
460	शल		चलनसंवरणयोः	शल्	शलितः	शलितवान्	शलित्वा	प्रशल्य	शलितुम्	शलितव्यम्	शलिता	शलिष्यति		शालकः	शालः	शाल्यम्	शलनीयम्	शलनम्	
461	शल		गतौ	शल्	शलितः	शलितवान्	शलित्वा	विशल्य	शलितुम्	शलितव्यम्	शलिता	शलिष्यति		शालकः	शालः	शाल्यम्	शलनीयम्	शलनम्	
462	ह्वल		चलने	ह्लल्	ह्वलितः	ह्वलितवान्	ह्वलित्वा	प्रह्वल्य	ह्वलितुम्	ह्वलितव्यम्	ह्वलिता	ह्वलिष्यति		ह्वालकः	ह्वालः	ह्वाल्यम्	ह्वलनीयम्	ह्वलनम्	
463	ह्मल		चलने	ह्मल्	ह्मलितः	ह्मलितवान्	ह्मलित्वा	प्रह्मल्य	ह्मलितुम्	ह्मलितव्यम्	ह्मलिता	ह्मलिष्यति		ह्मालकः	ह्मालः	ह्माल्यम्	ह्मलनीयम्	ह्मलनम्	
464	अल		भूषणपर्याप्तिवारणेषु	अल्	अलितः	अलितवान्	अलित्वा	प्राल्य	अलितुम्	अलितव्यम्	अलिता	अलिष्यति		आलकः	आलः	आल्यम्	अलनीयम्	अलनम्	
465	फल		निष्पत्तौ	फल्	फलितः	फलितवान्	फलित्वा	प्रफल्य	फलितुम्	फलितव्यम्	फलिता	फलिष्यति		फालकः	फालः	फाल्यम्	फलनीयम्	फलनम्	
466	स्खल		सञ्चलने	स्खल्	स्खलितः	स्खलितवान्	स्खलित्वा	प्रस्खल्य	स्खलितुम्	स्खलितव्यम्	स्खलिता	स्खलिष्यति		स्खालकः	स्खालः	स्खाल्यम्	स्खलनीयम्	स्खलनम्	
467	खल		सञ्चये	खल्	खलितः	खलितवान्	खलित्वा	प्रखल्य	खलितुम्	खलितव्यम्	खलिता	खलिष्यति		खालकः	खालः	खाल्यम्	खलनीयम्	खलनम्	
468	गल		अदने	गल्	गलितः	गलितवान्	गलित्वा	प्रगल्य	गलितुम्	गलितव्यम्	गलिता	गलिष्यति		गालकः	गालः	गाल्यम्	गलनीयम्	गलनम्	
469	षल		गतौ	सल्	सलितः	सलितवान्	सलित्वा	प्रसल्य	सलितुम्	सलितव्यम्	सलिता	सलिष्यति		सालकः	सालः	साल्यम्	सलनीयम्	सलनम्	
470	दल		विशरणे	दल्	दलितः	दलितवान्	दलित्वा	विदल्य	दलितुम्	दलितव्यम्	दलिता	दलिष्यति		दालकः	दालः	दाल्यम्	दलनीयम्	दलनम्	
471	श्वल		आशुगमने	श्वल्	श्वलितः	श्वलितवान्	श्वलित्वा	विश्वल्य	श्वलितुम्	श्वलितव्यम्	श्वलिता	श्वलिष्यति		श्वालकः	श्वालः	श्वाल्यम्	श्वलनीयम्	श्वलनम्	
472	वल		संवरणे संचरणे च	वल्	वलितः	वलितवान्	वलित्वा	प्रवल्य	वलितुम्	वलितव्यम्	वलिता	वलिष्यति		वालकः	वालः	वाल्यम्	वलनीयम्	वलनम्	
473	मल		धारणे	मल	मलितः	मलितवान्	मलित्वा	प्रमल्य	मलितुम्	मलितव्यम्	मलिता	मलिष्यति		मालकः	मालः	माल्यम्	मलनीयम्	मलनम्	
474	भल		परिभाषणहिंसादानेषु	भल्	भलितः	भलितवान्	भलित्वा	प्रभल्य	भलितुम्	भलितव्यम्	भलिता	भलिष्यति		भालकः	भालः	भाल्यम्	भलनीयम्	भलनम्	
475	कल		शब्दसङ्ख्यानयोः	कल्	कलितः	कलितवान्	कलित्वा	प्रकल्य	कलितुम्	कलितव्यम्	कलिता	कलिष्यति		कालकः	कालः	काल्यम्	कलनीयम्	कलनम्	
476	चल		विलसने	चल्	चलितः	चलितवान्	चलित्वा	विचल्य	चलितुम्	चलितव्यम्	चलिता	चलिष्यति		चालकः	चालः	चाल्यम्	चलनीयम्	चलनम्	
477	मव		बन्धने	मव्	मूतः	मूतवान्	मूत्वा	प्रमव्य	मवितुम्	मवितव्यम्	मविता	मविष्यति		मावकः	मावः	माव्यम्	मवनीयम्	मवनम्	
478	अव		रक्षणगतिकान्तिप्रीति	अव्	ऊतः	ऊतवान्	ऊत्वा	प्राव्य	अवितुम्	अवितव्यम्	अविता	अविष्यति		आवकः	आवः	आव्यम्	अवनीयम्	अवनम्	
479	शव		गतौ	शव्	शवितः	शवितवान्	शवित्वा	प्रशव्य	शवितुम्	शवितव्यम्	शविता	शविष्यति		शावकः	शावः	शाव्यम्	शवनीयम्	शवनम्	
480	णश		अदर्शने	नश्	नष्टः	नष्टवान्	नष्ट्वा/नंष्ट्वा/नशित्वा	विनश्य	नंष्टुम्/नशितुम्	नंष्टव्यम्/नशितव्यम्	नंष्टा/नशिता	नंक्ष्यति/नशिष्यति		नाशकः	नाशः	नाश्यम्	नशनीयम्	नशनम्	
