क्रम्यते(छ)	वृद्धौ 1.1.8 बृंहति वर्धते आप्यायते स्फायते श्वयति ऋध्नोति बर्हति आपूर्यते पुष्यति पोषति ऋद्ध्यति पूषति वंहते मंहते मेध्यति एधते विपोलति नीवति स्थूलयते पीवति मीवति महीयते वठति विपोलयति तीवति क्रमते प्यायते स्फीतीभवति प्रथते क्रम्यते(छ) प्रसते(छ) तौति(छ) तवीति(छ)
प्रसते(छ)	वृद्धौ 1.1.8 बृंहति वर्धते आप्यायते स्फायते श्वयति ऋध्नोति बर्हति आपूर्यते पुष्यति पोषति ऋद्ध्यति पूषति वंहते मंहते मेध्यति एधते विपोलति नीवति स्थूलयते पीवति मीवति महीयते वठति विपोलयति तीवति क्रमते प्यायते स्फीतीभवति प्रथते क्रम्यते(छ) प्रसते(छ) तौति(छ) तवीति(छ)
तौति(छ)	वृद्धौ 1.1.8 बृंहति वर्धते आप्यायते स्फायते श्वयति ऋध्नोति बर्हति आपूर्यते पुष्यति पोषति ऋद्ध्यति पूषति वंहते मंहते मेध्यति एधते विपोलति नीवति स्थूलयते पीवति मीवति महीयते वठति विपोलयति तीवति क्रमते प्यायते स्फीतीभवति प्रथते क्रम्यते(छ) प्रसते(छ) तौति(छ) तवीति(छ)
तवीति(छ)	वृद्धौ 1.1.8 बृंहति वर्धते आप्यायते स्फायते श्वयति ऋध्नोति बर्हति आपूर्यते पुष्यति पोषति ऋद्ध्यति पूषति वंहते मंहते मेध्यति एधते विपोलति नीवति स्थूलयते पीवति मीवति महीयते वठति विपोलयति तीवति क्रमते प्यायते स्फीतीभवति प्रथते क्रम्यते(छ) प्रसते(छ) तौति(छ) तवीति(छ)
वृद्धौ	वृद्धौ 1.1.8 बृंहति वर्धते आप्यायते स्फायते श्वयति ऋध्नोति बर्हति आपूर्यते पुष्यति पोषति ऋद्ध्यति पूषति वंहते मंहते मेध्यति एधते विपोलति नीवति स्थूलयते पीवति मीवति महीयते वठति विपोलयति तीवति क्रमते प्यायते स्फीतीभवति प्रथते क्रम्यते(छ) प्रसते(छ) तौति(छ) तवीति(छ)
स्फुटति	विकासे 1.1.9 स्फुटति स्फोटते फुल्लति उन्मीलयति पुष्प्यति विजृम्भते विकचते विकसति
स्फोटते	विकासे 1.1.9 स्फुटति स्फोटते फुल्लति उन्मीलयति पुष्प्यति विजृम्भते विकचते विकसति
फुल्लति	विकासे 1.1.9 स्फुटति स्फोटते फुल्लति उन्मीलयति पुष्प्यति विजृम्भते विकचते विकसति
उन्मीलयति	विकासे 1.1.9 स्फुटति स्फोटते फुल्लति उन्मीलयति पुष्प्यति विजृम्भते विकचते विकसति
पुष्प्यति	विकासे 1.1.9 स्फुटति स्फोटते फुल्लति उन्मीलयति पुष्प्यति विजृम्भते विकचते विकसति
विजृम्भते	विकासे 1.1.9 स्फुटति स्फोटते फुल्लति उन्मीलयति पुष्प्यति विजृम्भते विकचते विकसति
विकचते	विकासे 1.1.9 स्फुटति स्फोटते फुल्लति उन्मीलयति पुष्प्यति विजृम्भते विकचते विकसति
विकसति	विकासे 1.1.9 स्फुटति स्फोटते फुल्लति उन्मीलयति पुष्प्यति विजृम्भते विकचते विकसति
विकासे	विकासे 1.1.9 स्फुटति स्फोटते फुल्लति उन्मीलयति पुष्प्यति विजृम्भते विकचते विकसति
मीलति	सङ्कोचे 1.1.10 मीलति स्मीलति क्ष्मीलति सङ्कुचति कूणयति मुकुलीभवति
स्मीलति	सङ्कोचे 1.1.10 मीलति स्मीलति क्ष्मीलति सङ्कुचति कूणयति मुकुलीभवति
क्ष्मीलति	सङ्कोचे 1.1.10 मीलति स्मीलति क्ष्मीलति सङ्कुचति कूणयति मुकुलीभवति
सङ्कुचति	सङ्कोचे 1.1.10 मीलति स्मीलति क्ष्मीलति सङ्कुचति कूणयति मुकुलीभवति
कूणयति	सङ्कोचे 1.1.10 मीलति स्मीलति क्ष्मीलति सङ्कुचति कूणयति मुकुलीभवति
मुकुलीभवति	सङ्कोचे 1.1.10 मीलति स्मीलति क्ष्मीलति सङ्कुचति कूणयति मुकुलीभवति
सङ्कोचे	सङ्कोचे 1.1.10 मीलति स्मीलति क्ष्मीलति सङ्कुचति कूणयति मुकुलीभवति
जरति	जरायाम् 1.1.11 जरति जीर्यति झीर्यति जूर्यते जारयति जिनाति जृणाति
जीर्यति	जरायाम् 1.1.11 जरति जीर्यति झीर्यति जूर्यते जारयति जिनाति जृणाति
झीर्यति	जरायाम् 1.1.11 जरति जीर्यति झीर्यति जूर्यते जारयति जिनाति जृणाति
जूर्यते	जरायाम् 1.1.11 जरति जीर्यति झीर्यति जूर्यते जारयति जिनाति जृणाति
जारयति	जरायाम् 1.1.11 जरति जीर्यति झीर्यति जूर्यते जारयति जिनाति जृणाति
जिनाति	जरायाम् 1.1.11 जरति जीर्यति झीर्यति जूर्यते जारयति जिनाति जृणाति
जृणाति	जरायाम् 1.1.11 जरति जीर्यति झीर्यति जूर्यते जारयति जिनाति जृणाति
जरायाम्	जरायाम् 1.1.11 जरति जीर्यति झीर्यति जूर्यते जारयति जिनाति जृणाति
दलति	विशरणे 1.1.12 दलति स्फोटति विशीर्यते फलति शीयते द्राडते ध्राडते सीदति
स्फोटति	विशरणे 1.1.12 दलति स्फोटति विशीर्यते फलति शीयते द्राडते ध्राडते सीदति
विशीर्यते	विशरणे 1.1.12 दलति स्फोटति विशीर्यते फलति शीयते द्राडते ध्राडते सीदति
फलति	विशरणे 1.1.12 दलति स्फोटति विशीर्यते फलति शीयते द्राडते ध्राडते सीदति
शीयते	विशरणे 1.1.12 दलति स्फोटति विशीर्यते फलति शीयते द्राडते ध्राडते सीदति
द्राडते	विशरणे 1.1.12 दलति स्फोटति विशीर्यते फलति शीयते द्राडते ध्राडते सीदति
ध्राडते	विशरणे 1.1.12 दलति स्फोटति विशीर्यते फलति शीयते द्राडते ध्राडते सीदति
सीदति	विशरणे 1.1.12 दलति स्फोटति विशीर्यते फलति शीयते द्राडते ध्राडते सीदति
विशरणे	विशरणे 1.1.12 दलति स्फोटति विशीर्यते फलति शीयते द्राडते ध्राडते सीदति
लिश्यते	अल्पत्वे 1.1.13 लिश्यते कृश्यति ह्रसति चुण्डते
कृश्यति	अल्पत्वे 1.1.13 लिश्यते कृश्यति ह्रसति चुण्डते
ह्रसति	अल्पत्वे 1.1.13 लिश्यते कृश्यति ह्रसति चुण्डते
चुण्डते	अल्पत्वे 1.1.13 लिश्यते कृश्यति ह्रसति चुण्डते
अल्पत्वे	अल्पत्वे 1.1.13 लिश्यते कृश्यति ह्रसति चुण्डते
दरिद्राति	दरिद्रत्वे 1.1.14 दरिद्राति व्यृध्नोति व्यृध्यति[c]
व्यृध्नोति	दरिद्रत्वे 1.1.14 दरिद्राति व्यृध्नोति व्यृध्यति[c]
व्यृध्यति[c]	दरिद्रत्वे 1.1.14 दरिद्राति व्यृध्नोति व्यृध्यति[c]
दरिद्रत्वे	दरिद्रत्वे 1.1.14 दरिद्राति व्यृध्नोति व्यृध्यति[c]
अपक्षीयते	अपक्षये 1.1.15 अपक्षीयते दीयते जायति अपक्षयति दस्यति तस्यति क्षायति सायति
दीयते	अपक्षये 1.1.15 अपक्षीयते दीयते जायति अपक्षयति दस्यति तस्यति क्षायति सायति
जायति	अपक्षये 1.1.15 अपक्षीयते दीयते जायति अपक्षयति दस्यति तस्यति क्षायति सायति
अपक्षयति	अपक्षये 1.1.15 अपक्षीयते दीयते जायति अपक्षयति दस्यति तस्यति क्षायति सायति
दस्यति	अपक्षये 1.1.15 अपक्षीयते दीयते जायति अपक्षयति दस्यति तस्यति क्षायति सायति
तस्यति	अपक्षये 1.1.15 अपक्षीयते दीयते जायति अपक्षयति दस्यति तस्यति क्षायति सायति
क्षायति	अपक्षये 1.1.15 अपक्षीयते दीयते जायति अपक्षयति दस्यति तस्यति क्षायति सायति
सायति	अपक्षये 1.1.15 अपक्षीयते दीयते जायति अपक्षयति दस्यति तस्यति क्षायति सायति
अपक्षये	अपक्षये 1.1.15 अपक्षीयते दीयते जायति अपक्षयति दस्यति तस्यति क्षायति सायति
प्रध्वंसते	विनाशे 1.1.16 प्रध्वंसते अप्येति विनश्यति विलीयते प्रलीयते रिष्यति विपद्यते
अप्येति	विनाशे 1.1.16 प्रध्वंसते अप्येति विनश्यति विलीयते प्रलीयते रिष्यति विपद्यते
विनश्यति	विनाशे 1.1.16 प्रध्वंसते अप्येति विनश्यति विलीयते प्रलीयते रिष्यति विपद्यते
विलीयते	विनाशे 1.1.16 प्रध्वंसते अप्येति विनश्यति विलीयते प्रलीयते रिष्यति विपद्यते
प्रलीयते	विनाशे 1.1.16 प्रध्वंसते अप्येति विनश्यति विलीयते प्रलीयते रिष्यति विपद्यते
रिष्यति	विनाशे 1.1.16 प्रध्वंसते अप्येति विनश्यति विलीयते प्रलीयते रिष्यति विपद्यते
विपद्यते	विनाशे 1.1.16 प्रध्वंसते अप्येति विनश्यति विलीयते प्रलीयते रिष्यति विपद्यते
