नाम	अक्षराणि	विषमे-स्वराः	विषमयोर् मात्राः	समे-सङ्ख्या	समयोर् मात्राः	प्रसिद्धिः	पादयोर् आदिसाम्यम्	पादयोः अन्त्यसाम्यम्	जातिः	जातिः २	लक्षणम्	लक्षणमूलम्	उदाहरणम्	मुख्यांशः
उलपोहा	48	12	दा द द दा द द दा द दा द दा दा	12	द द दा दा द द दा द दा द दा दा			दा द द दा द दा द दा दा						
वियद्वाणी	48	12	द द दा दा द द दा द दा द दा दा	12	दा दा दा द द दा द दा द दा दा दा			दा दा						
वियद्वाणी	48	12	दा दा दा द द दा द दा द दा दा दा	12	द द दा दा द द दा द दा द दा दा			दा दा						
शिशिरा	48	12	दा दा द दा दा द द दा द दा द दा	12	द दा द दा दा द द दा द दा द दा			दा द दा दा द द दा द दा द दा						
सरसीकम्	48	12	दा दा द दा द द द दा द द दा दा	12	द द दा दा द द द दा द द दा दा			दा द द द दा द द दा दा						
यवात्परामतीय	48	12	दा द दा द दा द दा द दा द दा द	12				द दा द दा द दा द दा द दा द दा				वृत्तरत्नाकरः		
कामाक्षी	48	13	द द दा द द दा द द द द द द दा	11	दा दा दा दा द द द द द द दा			दा द द द द द द दा						
अकोषकृष्टा	48	14	द द दा दा द द दा द दा द दा द दा दा	10	दा दा द द दा द दा द दा दा			द दा द दा द दा दा						
सुरभिः	50	11	द द दा द द दा द दा द दा दा	13	द द द द दा द द दा द दा द दा दा		द द	द द दा द द दा द दा द दा दा	वसन्तमालिका +‌पुष्पिताग्रा	औपछान्दसिकम्।				
अप्रमाथिनी	50	12	द द दा दा द द दा द दा द दा दा	13	द द द द दा द द दा द दा द दा दा		द द	दा द द दा द दा द दा दा						
अमरावती	50	12	दा द दा द दा द दा द दा द दा द	13	द दा द दा द दा द दा द दा द दा दा									
चमूरुभीरुः	50	12	दा द दा द द द द दा द दा द दा	13	द द दा द द द द दा द दा द दा दा			दा						
