 भू (सत्तायाम्, भ्वादिगण, परस्मै, लट्) \n भवति भवतः भवन्ति \n भवसि भवथः भवथ \n भवामि भवावः भवामः 
 स्कुदि (आप्रवणे । आप्रवणमुत्प्लवनमुद्धरणं च, भ्वादिगण, आत्मने, ऌट्) \n स्कुन्दिष्यते स्कुन्दिष्येते स्कुन्दिष्यन्ते \n स्कुन्दिष्यसे स्कुन्दिष्येथे स्कुन्दिष्यध्वे \n स्कुन्दिष्ये स्कुन्दिष्यावहे स्कुन्दिष्यामहे 
 स्कुदि (आप्रवणे । आप्रवणमुत्प्लवनमुद्धरणं च, भ्वादिगण, आत्मने, \n आशीर्लिङ्) \n स्कुन्दिषीष्ट स्कुन्दिषीयास्ताम् स्कुन्दिषीरन् \n स्कुन्दिषीष्ठाः स्कुन्दिषीयास्थाम् स्कुन्दिषीध्वम् \n स्कुन्दिषीय स्कुन्दिषीवहि स्कुन्दिषीमहि 
 स्कुदि (आप्रवणे । आप्रवणमुत्प्लवनमुद्धरणं च, भ्वादिगण, आत्मने, लुङ्) \n अस्कुन्दिष्ट अस्कुन्दिषाताम् अस्कुन्दिषत \n अस्कुन्दिष्ठाः अस्कुन्दिषाथाम् अस्कुन्दिध्वम् \n अस्कुन्दिषि अस्कुन्दिष्वहि अस्कुन्दिष्महि 
 स्कुदि (आप्रवणे । आप्रवणमुत्प्लवनमुद्धरणं च, भ्वादिगण, आत्मने, ॡङ्) \n अस्कुन्दिष्यत अस्कुन्दिष्येताम् अस्कुन्दिष्यन्त \n अस्कुन्दिष्यथाः अस्कुन्दिष्येथाम् अस्कुन्दिष्यध्वम् \n अस्कुन्दिष्ये अस्कुन्दिष्यावहि अस्कुन्दिष्यामहि 
 वदि (अभिवादनस्तुत्योः, भ्वादिगण, आत्मने, लट्) \n वन्दते वन्देते वन्दन्ते \n वन्दसे वन्देथे वन्दध्वे \n वन्दे वन्दावहे वन्दामहे 
 वदि (अभिवादनस्तुत्योः, भ्वादिगण, आत्मने, लोट्) \n वन्दताम् वन्देताम् वन्दन्ताम् \n वन्दस्व वन्देथाम् वन्दध्वम् \n वन्दै वन्दावहै वन्दामहै 
 वदि (अभिवादनस्तुत्योः, भ्वादिगण, आत्मने, लङ्) \n अवन्दत अवन्देताम् अवन्दन्त \n अवन्दथाः अवन्देथाम् अवन्दध्वम् \n अवन्दे अवन्दावहि अवन्दामहि 
 वदि (अभिवादनस्तुत्योः, भ्वादिगण, आत्मने, विधिलिङ्) \n वन्देत वन्देयाताम् वन्देरन् \n वन्देथाः वन्देयाथाम् वन्देध्वम् \n वन्देय वन्देवहि वन्देमहि 
 वदि (अभिवादनस्तुत्योः, भ्वादिगण, आत्मने, लिट्) \n ववन्दे ववन्दाते ववन्दिरे \n ववन्दिषे ववन्दाथे ववन्दिध्वे \n ववन्दे ववन्दिवहे ववन्दिमहे 
 वदि (अभिवादनस्तुत्योः, भ्वादिगण, आत्मने, लुट्) \n वन्दिता वन्दितारौ वन्दितारः \n वन्दितासे वन्दितासाथे वन्दिताध्वे \n वन्दिताहे वन्दितास्वहे वन्दितास्महे 
 वदि (अभिवादनस्तुत्योः, भ्वादिगण, आत्मने, ऌट्) \n वन्दिष्यते वन्दिष्येते वन्दिष्यन्ते \n वन्दिष्यसे वन्दिष्येथे वन्दिष्यध्वे \n वन्दिष्ये वन्दिष्यावहे वन्दिष्यामहे 
 वदि (अभिवादनस्तुत्योः, भ्वादिगण, आत्मने, आशीर्लिङ्) \n वन्दिषीष्ट वन्दिषीयास्ताम् वन्दिषीरन् \n वन्दिषीष्ठाः वन्दिषीयास्थाम् वन्दिषीध्वम् \n वन्दिषीय वन्दिषीवहि वन्दिषीमहि 
 वदि (अभिवादनस्तुत्योः, भ्वादिगण, आत्मने, लुङ्) \n अवन्दिष्ट अवन्दिषाताम् अवन्दिषत \n अवन्दिष्ठाः अवन्दिषाथाम् अवन्दिध्वम् \n अवन्दिषि अवन्दिष्वहि अवन्दिष्महि 
 वदि (अभिवादनस्तुत्योः, भ्वादिगण, आत्मने, ॡङ्) \n अवन्दिष्यत अवन्दिष्येताम् अवन्दिष्यन्त \n अवन्दिष्यथाः अवन्दिष्येथाम् अवन्दिष्यध्वम् \n अवन्दिष्ये अवन्दिष्यावहि अवन्दिष्यामहि 
 भदि (कल्याणे सुखे च, भ्वादिगण, आत्मने, लट्) \n भन्दते भन्देते भन्दन्ते \n भन्दसे भन्देथे भन्दध्वे \n भन्दे भन्दावहे भन्दामहे 
 भदि (कल्याणे सुखे च, भ्वादिगण, आत्मने, लोट्) \n भन्दताम् भन्देताम् भन्दन्ताम् \n भन्दस्व भन्देथाम् भन्दध्वम् \n भन्दै भन्दावहै भन्दामहै 
 भदि (कल्याणे सुखे च, भ्वादिगण, आत्मने, लङ्) \n अभन्दत अभन्देताम् अभन्दन्त \n अभन्दथाः अभन्देथाम् अभन्दध्वम् \n अभन्दे अभन्दावहि अभन्दामहि 
 भदि (कल्याणे सुखे च, भ्वादिगण, आत्मने, विधिलिङ्) \n भन्देत भन्देयाताम् भन्देरन् \n भन्देथाः भन्देयाथाम् भन्देध्वम् \n भन्देय भन्देवहि भन्देमहि 
 भदि (कल्याणे सुखे च, भ्वादिगण, आत्मने, लिट्) \n बभन्दे बभन्दाते बभन्दिरे \n बभन्दिषे बभन्दाथे बभन्दिध्वे \n बभन्दे बभन्दिवहे बभन्दिमहे 
 भदि (कल्याणे सुखे च, भ्वादिगण, आत्मने, लुट्) \n भन्दिता भन्दितारौ भन्दितारः \n भन्दितासे भन्दितासाथे भन्दिताध्वे \n भन्दिताहे भन्दितास्वहे भन्दितास्महे 
 भदि (कल्याणे सुखे च, भ्वादिगण, आत्मने, ऌट्) \n भन्दिष्यते भन्दिष्येते भन्दिष्यन्ते \n भन्दिष्यसे भन्दिष्येथे भन्दिष्यध्वे \n भन्दिष्ये भन्दिष्यावहे भन्दिष्यामहे 
 भदि (कल्याणे सुखे च, भ्वादिगण, आत्मने, आशीर्लिङ्) \n भन्दिषीष्ट भन्दिषीयास्ताम् भन्दिषीरन् \n भन्दिषीष्ठाः भन्दिषीयास्थाम् भन्दिषीध्वम् \n भन्दिषीय भन्दिषीवहि भन्दिषीमहि 
 भदि (कल्याणे सुखे च, भ्वादिगण, आत्मने, लुङ्) \n अभन्दिष्ट अभन्दिषाताम् अभन्दिषत \n अभन्दिष्ठाः अभन्दिषाथाम् अभन्दिध्वम् \n अभन्दिषि अभन्दिष्वहि अभन्दिष्महि 
 भदि (कल्याणे सुखे च, भ्वादिगण, आत्मने, ॡङ्) \n अभन्दिष्यत अभन्दिष्येताम् अभन्दिष्यन्त \n अभन्दिष्यथाः अभन्दिष्येथाम् अभन्दिष्यध्वम् \n अभन्दिष्ये अभन्दिष्यावहि अभन्दिष्यामहि 
 मदि (स्तुतिमोदमदस्वप्नकान्तिगतिषु, भ्वादिगण, आत्मने, लट्) \n मन्दते मन्देते मन्दन्ते \n मन्दसे मन्देथे मन्दध्वे \n मन्दे मन्दावहे मन्दामहे 
 मदि (स्तुतिमोदमदस्वप्नकान्तिगतिषु, भ्वादिगण, आत्मने, लोट्) \n मन्दताम् मन्देताम् मन्दन्ताम् \n मन्दस्व मन्देथाम् मन्दध्वम् \n मन्दै मन्दावहै मन्दामहै 
 मदि (स्तुतिमोदमदस्वप्नकान्तिगतिषु, भ्वादिगण, आत्मने, लङ्) \n अमन्दत अमन्देताम् अमन्दन्त \n अमन्दथाः अमन्देथाम् अमन्दध्वम् \n अमन्दे अमन्दावहि अमन्दामहि 
 मदि (स्तुतिमोदमदस्वप्नकान्तिगतिषु, भ्वादिगण, आत्मने, विधिलिङ्) \n मन्देत मन्देयाताम् मन्देरन् \n मन्देथाः मन्देयाथाम् मन्देध्वम् \n मन्देय मन्देवहि मन्देमहि 
 मदि (स्तुतिमोदमदस्वप्नकान्तिगतिषु, भ्वादिगण, आत्मने, लिट्) \n ममन्दे ममन्दाते ममन्दिरे \n ममन्दिषे ममन्दाथे ममन्दिध्वे \n ममन्दे ममन्दिवहे ममन्दिमहे 
 मदि (स्तुतिमोदमदस्वप्नकान्तिगतिषु, भ्वादिगण, आत्मने, लुट्) \n मन्दिता मन्दितारौ मन्दितारः \n मन्दितासे मन्दितासाथे मन्दिताध्वे \n मन्दिताहे मन्दितास्वहे मन्दितास्महे 
 मदि (स्तुतिमोदमदस्वप्नकान्तिगतिषु, भ्वादिगण, आत्मने, ऌट्) \n मन्दिष्यते मन्दिष्येते मन्दिष्यन्ते \n मन्दिष्यसे मन्दिष्येथे मन्दिष्यध्वे \n मन्दिष्ये मन्दिष्यावहे मन्दिष्यामहे 
 मदि (स्तुतिमोदमदस्वप्नकान्तिगतिषु, भ्वादिगण, आत्मने, आशीर्लिङ्) \n मन्दिषीष्ट मन्दिषीयास्ताम् मन्दिषीरन् \n मन्दिषीष्ठाः मन्दिषीयास्थाम् मन्दिषीध्वम् \n मन्दिषीय मन्दिषीवहि मन्दिषीमहि 
 मदि (स्तुतिमोदमदस्वप्नकान्तिगतिषु, भ्वादिगण, आत्मने, लुङ्) \n अमन्दिष्ट अमन्दिषाताम् अमन्दिषत \n अमन्दिष्ठाः अमन्दिषाथाम् अमन्दिध्वम् \n अमन्दिषि अमन्दिष्वहि अमन्दिष्महि 
 मदि (स्तुतिमोदमदस्वप्नकान्तिगतिषु, भ्वादिगण, आत्मने, ॡङ्) \n अमन्दिष्यत अमन्दिष्येताम् अमन्दिष्यन्त \n अमन्दिष्यथाः अमन्दिष्येथाम् अमन्दिष्यध्वम् \n अमन्दिष्ये अमन्दिष्यावहि अमन्दिष्यामहि 
 स्पदि (किञ्चिच्चलने, भ्वादिगण, आत्मने, लट्) \n स्पन्दते स्पन्देते स्पन्दन्ते \n स्पन्दसे स्पन्देथे स्पन्दध्वे \n स्पन्दे स्पन्दावहे स्पन्दामहे 
 स्पदि (किञ्चिच्चलने, भ्वादिगण, आत्मने, लोट्) \n स्पन्दताम् स्पन्देताम् स्पन्दन्ताम् \n स्पन्दस्व स्पन्देथाम् स्पन्दध्वम् \n स्पन्दै स्पन्दावहै स्पन्दामहै 
 स्पदि (किञ्चिच्चलने, भ्वादिगण, आत्मने, लङ्) \n अस्पन्दत अस्पन्देताम् अस्पन्दन्त \n अस्पन्दथाः अस्पन्देथाम् अस्पन्दध्वम् \n अस्पन्दे अस्पन्दावहि अस्पन्दामहि 
 स्पदि (किञ्चिच्चलने, भ्वादिगण, आत्मने, विधिलिङ्) \n स्पन्देत स्पन्देयाताम् स्पन्देरन् \n स्पन्देथाः स्पन्देयाथाम् स्पन्देध्वम् \n स्पन्देय स्पन्देवहि स्पन्देमहि 
 स्पदि (किञ्चिच्चलने, भ्वादिगण, आत्मने, लिट्) \n पस्पन्दे पस्पन्दाते पस्पन्दिरे \n पस्पन्दिषे पस्पन्दाथे पस्पन्दिध्वे \n पस्पन्दे पस्पन्दिवहे पस्पन्दिमहे 
 स्पदि (किञ्चिच्चलने, भ्वादिगण, आत्मने, लुट्) \n स्पन्दिता स्पन्दितारौ स्पन्दितारः \n स्पन्दितासे स्पन्दितासाथे स्पन्दिताध्वे \n स्पन्दिताहे स्पन्दितास्वहे स्पन्दितास्महे 
 स्पदि (किञ्चिच्चलने, भ्वादिगण, आत्मने, ऌट्) \n स्पन्दिष्यते स्पन्दिष्येते स्पन्दिष्यन्ते \n स्पन्दिष्यसे स्पन्दिष्येथे स्पन्दिष्यध्वे \n स्पन्दिष्ये स्पन्दिष्यावहे स्पन्दिष्यामहे 
